[2026-09-02T06:12:01.298Z] INFO  [CodexTomlWriter] Registered Codex MCP server in C:\Users\nandi\.codex\config.toml
[2026-09-02T06:12:01.333Z] INFO  [JsonMcpWriter] Registered MCP server in C:\Users\nandi\AppData\Roaming\Code\User\mcp.json
[2026-09-02T06:12:01.338Z] INFO  [JsonMcpWriter] Registered MCP server in C:\Users\nandi\.gemini\config\mcp_config.json
[2026-09-02T06:12:01.348Z] INFO  [GitHookInstaller] Git post-commit hook installed
[2026-09-02T06:12:01.355Z] INFO  [GitHookInstaller] Git post-rewrite hook installed
[2026-09-02T06:12:01.361Z] INFO  [GitHookInstaller] Git prepare-commit-msg hook installed
[2026-09-02T06:12:01.368Z] INFO  [GitHookInstaller] Git post-merge hook installed
[2026-09-02T06:12:01.376Z] INFO  [GitHookInstaller] Git pre-push hook installed
[2026-09-02T06:12:01.381Z] INFO  [GeminiHookInstaller] Gemini AfterAgent hook installed
[2026-09-02T06:12:01.383Z] INFO  [Installer] Skipping v5 migration on vscode-extension source — Extension.ts owns it with UI
[2026-09-02T06:12:01.383Z] INFO  [Installer] Installation complete
[2026-09-02T06:12:01.386Z] INFO  [Installer] Checking Jolli Memory status
[2026-09-02T06:12:09.495Z] INFO  [Installer] Status: enabled=false, claude=false, git=false, geminiHook=true, hermesHook=false, worktreeHooks=false, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-09-02T06:12:09.496Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, hermesHook=false, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-09-02T06:12:09.509Z] WARN  [CutoverRouter] database unavailable for un-cutover repo (database file does not exist) — orphan remains authoritative
[2026-09-02T06:12:09.510Z] INFO  [Installer] Checking Jolli Memory status
[2026-09-02T06:12:09.602Z] INFO  [Installer] Status: enabled=false, claude=false, git=false, geminiHook=false, hermesHook=false, worktreeHooks=false, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-09-02T06:12:09.605Z] INFO  [initialLoad] All panels loaded — updating status bar
[2026-09-02T06:12:09.605Z] INFO  [Installer] Checking Jolli Memory status
